Bidang_Riset,Motivasi_Studi,Motivasi_Beasiswa,Pengalaman_Penelitian,Rencana_Riset,Komunikasi,Problem_Solving,Literatur_Review,Team_Work,Nilai_Total_Interview,Jenis_TOEFL,Nilai_Setara_TOEFL,Jenis_TPA,Nilai_TPA,Matematika_Komputasi,Jaringan,Basis_Data,Algoritma_dan_Pemrograman,Nilai_Tes_Bidang,Akreditasi_Kampus,Nilai_Setara_IPK,Jenis_Beasiswa,Nilai_Total,Kategori_Lulus
2,75,75,70,60,70,70,65,72,69.2,4,75.07,3,62.67,0,20.01,33.40,20.01,18.36,2,79.65,1,57.66,1
4,85,75,70,78,75,82,68,82,76.3,1,68,1,50,6.7,40.02,33.4,26.7,26.71,2,64.13,1,57.3,1
1,80,75,85,80,75,75,70,70,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,5,81.87,1,66.24,0
1,80,80,85,75,75,80,70,70,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,5,81.87,3,66.24,0
1,70,75,70,65,70,70,50,75,66,4,97,3,69,13.34,13.34,40.02,20.01,21.68,2,74.93,1,59.88,1
5,70,85,80,65,75,85,80,80,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,2,81.87,4,66.24,0
3,80,75,70,75,75,75,75,75,75,4,85.73,1,50,33.4,40.02,53.4,40.02,41.71,4,89.00,1,66.1,0
2,85,75,75,80,80,78,75,76,77.9,2,67.66,3,74.25,26.7,20.01,73.4,60.03,45.04,2,83.48,1,68.95,1
4,80,75,80,75,75,80,75,75,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,2,81.87,1,66.24,1
2,80,80,80,75,75,80,70,75,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,5,81.87,3,66.24,0
4,75,75,70,75,75,70,70,75,72.5,2,68.47,3,73.5,13.34,53.4,46.7,13.34,31.7,2,73.86,1,62.25,1
5,80,75,75,80,80,80,80,80,79,4,82.27,3,90.33,40.02,20.01,60.03,33.4,38.37,3,82.00,1,71.32,0
5,80,75,70,75,80,75,70,75,74.5,1,70,1,50,6.7,33.4,46.7,13.34,25.04,2,73.53,1,57.86,1
2,85,75,80,70,75,70,75,75,76.23,1,69.97,1,68.67,30.14,30.14,30.14,30.14,30.14,4,81.87,1,66.24,1
4,75,75,70,75,75,75,75,75,74,1,68.25,1,50,40.02,33.4,33.4,46.7,38.38,5,76.25,1,61.26,1
3,80,75,70,85,80,80,70,80,76.5,1,75,1,50,33.4,60.03,73.4,33.4,50.06,4,83.6,1,66.83,0
5,80,80,85,80,75,75,75,65,76.23,1,76.97,1,68.67,30.14,30.14,30.14,30.14,30.14,5,81.87,3,66.24,0
1,85,75,75,85,85,80,60,80,77,2,65.01,3,93.93,46.69,33.35,66.67,46.69,48.35,1,89.78,1,73.09,1
